Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Publisher (all),Publisher (unified)
BUSINESS PROCESS MANAGEMENT JOURNAL,1,2,129,100.0,EMERALD GROUP PUBLISHING LTD,
TOXICOLOGY LETTERS,1,0,129,0.0,ELSEVIER IRELAND LTD,Elsevier (Unified)
JOURNAL OF HAND THERAPY,1,0,129,0.0,HANLEY & BELFUS-ELSEVIER INC,Elsevier (Unified)
LUBRICANTS,1,6,129,100.0,MDPI,
VACCINES,1,0,129,0.0,MDPI,
MACROMOLECULES,1,0,129,0.0,AMER CHEMICAL SOC,
INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS,1,0,129,0.0,SPRINGER,Springer Nature (Unified)
ADVANCED SCIENCE,1,0,129,0.0,WILEY,Wiley (Unified)
JOURNAL OF MENS HEALTH,1,0,129,0.0,MRE PRESS,
PROGRESS IN ORGANIC COATINGS,1,0,129,0.0,ELSEVIER SCIENCE SA,Elsevier (Unified)
STRUCTURAL CONTROL & HEALTH MONITORING,1,0,129,0.0,JOHN WILEY & SONS LTD,Wiley (Unified)
JOURNAL OF ADVANCED NURSING,1,0,129,0.0,WILEY,Wiley (Unified)
CHILDREN AND YOUTH SERVICES REVIEW,1,0,129,0.0,PERGAMON-ELSEVIER SCIENCE LTD,Elsevier (Unified)
EUROPEAN JOURNAL OF ANAESTHESIOLOGY,1,0,129,0.0,LIPPINCOTT WILLIAMS & WILKINS,Lippincott Williams & Wilkins (Unified)
INTERNATIONAL RESEARCH IN CHILDRENS LITERATURE,1,0,129,0.0,EDINBURGH UNIV PRESS,
PEDIATRIC ALLERGY AND IMMUNOLOGY,1,1,129,100.0,WILEY,Wiley (Unified)
ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION,1,0,129,0.0,SPRINGER,Springer Nature (Unified)
INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS,1,2,129,100.0,WILEY,Wiley (Unified)
IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING,1,2,129,100.0,IEEE COMPUTER SOC,IEEE (Unified)
INTERNATIONAL JOURNAL OF HOSPITALITY & TOURISM ADMINISTRATION,1,0,129,0.0,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",Taylor & Francis (Unified)
MICROMACHINES,1,0,129,0.0,MDPI,
ANNALI DELL ISTITUTO SUPERIORE DI SANITA,1,2,129,100.0,Istituto Superiore Sanita,
FOLKLORE-ELECTRONIC JOURNAL OF FOLKLORE,1,0,129,0.0,ESTONIAN LITERARY MUSEUM,
ARCHIVES OF DISEASE IN CHILDHOOD,1,0,129,0.0,BMJ PUBLISHING GROUP,
INTERNATIONAL JOURNAL OF LEXICOGRAPHY,1,0,129,0.0,OXFORD UNIV PRESS,Oxford University Press (Unified)
PEERJ,1,0,129,0.0,PEERJ INC,
LIFE SCIENCES,1,0,129,0.0,PERGAMON-ELSEVIER SCIENCE LTD,Elsevier (Unified)
POLYMER CHEMISTRY,1,0,129,0.0,ROYAL SOC CHEMISTRY,
BIOLOGY-BASEL,1,0,129,0.0,MDPI,
JOURNAL OF PHYSIOLOGY-LONDON,1,1,129,100.0,WILEY,Wiley (Unified)
BRAIN INJURY,1,0,129,0.0,TAYLOR & FRANCIS LTD,Taylor & Francis (Unified)
IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS,1,0,129,0.0,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,IEEE (Unified)
SYNTHETIC METALS,1,0,129,0.0,ELSEVIER SCIENCE SA,Elsevier (Unified)
HEALTH SERVICES MANAGEMENT RESEARCH,1,0,129,0.0,SAGE PUBLICATIONS LTD,Sage (Unified)
NEW ENGLAND JOURNAL OF MEDICINE,1,10,129,100.0,MASSACHUSETTS MEDICAL SOC,
FRONTIERS IN MICROBIOLOGY,1,0,129,0.0,FRONTIERS MEDIA SA,
"2023 17TH INTERNATIONAL CONFERENCE ON TELECOMMUNICATIONS, CONTEL",1,0,129,0.0,IEEE,IEEE (Unified)
JOURNAL OF TOURISM FUTURES,1,2,129,100.0,EMERALD GROUP PUBLISHING LTD,
INTERNATIONAL JOURNAL OF CORPUS LINGUISTICS,1,0,129,0.0,JOHN BENJAMINS PUBLISHING CO,
BMC CARDIOVASCULAR DISORDERS,1,0,129,0.0,BMC,Springer Nature (Unified)
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,1,0,129,0.0,SAGE PUBLICATIONS LTD,Sage (Unified)
MEMBRANES,1,1,129,100.0,MDPI,
ADVANCES IN THERAPY,1,0,129,0.0,SPRINGER,Springer Nature (Unified)
CHEMCATCHEM,1,0,129,0.0,WILEY-V C H VERLAG GMBH,Wiley (Unified)
STRESS AND HEALTH,1,0,129,0.0,WILEY,Wiley (Unified)
ACTA ZOOLOGICA BULGARICA,1,0,129,0.0,"INST ZOOLOGY, BAS",
MATHEMATICA SLOVACA,1,0,129,0.0,WALTER DE GRUYTER GMBH,Walter De Gruyter (Unified)
INSIGHTS INTO IMAGING,1,0,129,0.0,SPRINGER WIEN,Springer Nature (Unified)
EXPERT SYSTEMS,1,0,129,0.0,WILEY,Wiley (Unified)
AKCE INTERNATIONAL JOURNAL OF GRAPHS AND COMBINATORICS,1,0,129,0.0,TAYLOR & FRANCIS LTD,Taylor & Francis (Unified)
SUBTERRANEAN BIOLOGY,1,0,129,0.0,INT SOC SUBTERRANEAN BIOL,
VICTIMS & OFFENDERS,1,0,129,0.0,TAYLOR & FRANCIS INC,Taylor & Francis (Unified)
JOURNAL OF TRAVEL RESEARCH,1,0,129,0.0,SAGE PUBLICATIONS INC,Sage (Unified)
FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,1,0,129,0.0,FRONTIERS MEDIA SA,
GRAPHS AND COMBINATORICS,1,1,129,100.0,SPRINGER JAPAN KK,Springer Nature (Unified)
PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,1,0,129,0.0,AMER MATHEMATICAL SOC,
CURRENT ISSUES IN TOURISM,1,6,129,100.0,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",Taylor & Francis (Unified)
JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,1,1,129,100.0,HUMAN KINETICS PUBL INC,
JOURNAL OF INTELLIGENCE,1,0,129,0.0,MDPI,
POLYCYCLIC AROMATIC COMPOUNDS,1,0,129,0.0,TAYLOR & FRANCIS LTD,Taylor & Francis (Unified)
ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT,1,0,129,0.0,EMERALD GROUP PUBLISHING LTD,
ENGINEERING FRACTURE MECHANICS,1,0,129,0.0,PERGAMON-ELSEVIER SCIENCE LTD,Elsevier (Unified)
EUROPEAN JOURNAL OF GYNAECOLOGICAL ONCOLOGY,1,0,129,0.0,MRE PRESS,
SOIL AND WATER RESEARCH,1,0,129,0.0,CZECH ACADEMY AGRICULTURAL SCIENCES,
CARDIOVASCULAR DIAGNOSIS AND THERAPY,1,0,129,0.0,AME PUBLISHING COMPANY,
CAMBRIDGE COMPANION TO EUROPEAN CRIMINAL LAW,1,1,129,100.0,CAMBRIDGE UNIV PRESS,
INTERNATIONAL REVIEW OF SOCIOLOGY-REVUE INTERNATIONALE DE SOCIOLOGIE,1,0,129,0.0,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",Taylor & Francis (Unified)
EXPERT REVIEW OF MEDICAL DEVICES,1,0,129,0.0,TAYLOR & FRANCIS LTD,Taylor & Francis (Unified)
ERJ OPEN RESEARCH,1,1,129,100.0,EUROPEAN RESPIRATORY SOC JOURNALS LTD,
LIFE SCIENCE ALLIANCE,1,0,129,0.0,LIFE SCIENCE ALLIANCE LLC,
JOURNAL OF NEURO-OPHTHALMOLOGY,1,1,129,100.0,LIPPINCOTT WILLIAMS & WILKINS,Lippincott Williams & Wilkins (Unified)
OPTICAL MATERIALS,1,1,129,100.0,ELSEVIER,Elsevier (Unified)
LINEAR ALGEBRA AND ITS APPLICATIONS,1,0,129,0.0,ELSEVIER SCIENCE INC,Elsevier (Unified)
JOURNAL OF MARINE SCIENCE AND ENGINEERING,1,0,129,0.0,MDPI,
EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,1,0,129,0.0,WILEY,Wiley (Unified)
TECHNOLOGY KNOWLEDGE AND LEARNING,1,0,129,0.0,SPRINGER,Springer Nature (Unified)
JOURNAL OF KING SAUD UNIVERSITY-COMPUTER AND INFORMATION SCIENCES,1,1,129,100.0,ELSEVIER,Elsevier (Unified)
FUEL,1,2,129,100.0,ELSEVIER SCI LTD,Elsevier (Unified)
RESULTS IN ENGINEERING,1,0,129,0.0,ELSEVIER,Elsevier (Unified)
COGENT EDUCATION,1,0,129,0.0,TAYLOR & FRANCIS AS,Taylor & Francis (Unified)
3D PRINTING AND ADDITIVE MANUFACTURING,1,0,129,0.0,"MARY ANN LIEBERT, INC",
SODOBNA PEDAGOGIKA-JOURNAL OF CONTEMPORARY EDUCATIONAL STUDIES,1,0,129,0.0,SLOVENIAN ASSOC EDUCATIONALISTS,
DATA IN BRIEF,1,0,129,0.0,ELSEVIER,Elsevier (Unified)
INTERNATIONAL JOURNAL OF NON-LINEAR MECHANICS,1,0,129,0.0,PERGAMON-ELSEVIER SCIENCE LTD,Elsevier (Unified)
BMC PUBLIC HEALTH,1,3,129,100.0,BMC,Springer Nature (Unified)
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,1,0,129,0.0,PERGAMON-ELSEVIER SCIENCE LTD,Elsevier (Unified)
BUSINESS STRATEGY AND DEVELOPMENT,1,0,129,0.0,WILEY,Wiley (Unified)
ACTA POLYTECHNICA HUNGARICA,1,0,129,0.0,BUDAPEST TECH,
BUILDINGS,1,0,129,0.0,MDPI,
NANOMATERIALS,1,0,129,0.0,MDPI,
MATERIALS & DESIGN,1,0,129,0.0,ELSEVIER SCI LTD,Elsevier (Unified)
RESUSCITATION PLUS,1,1,129,100.0,ELSEVIER,Elsevier (Unified)
TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,1,0,129,0.0,ELSEVIER SCI LTD,Elsevier (Unified)
WATER,1,4,129,100.0,MDPI,
INTERNATIONAL JOURNAL OF INSTRUCTION,1,0,129,0.0,"GATE ASSOC TEACHING & EDUCATION-GATE, SWITZERLAND",
ADVANCED ENERGY MATERIALS,1,0,129,0.0,WILEY-V C H VERLAG GMBH,Wiley (Unified)
APPLIED SURFACE SCIENCE,1,0,129,0.0,ELSEVIER,Elsevier (Unified)
JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,1,0,129,0.0,LIPPINCOTT WILLIAMS & WILKINS,Lippincott Williams & Wilkins (Unified)
TOPOLOGY AND ITS APPLICATIONS,1,0,129,0.0,ELSEVIER,Elsevier (Unified)
MATERIA-RIO DE JANEIRO,1,0,129,0.0,"UNIV FED RIO DE JANEIRO, LAB HIDROGENIO",
"ALGORITHMS AND DISCRETE APPLIED MATHEMATICS, CALDAM 2023",1,0,129,0.0,SPRINGER INTERNATIONAL PUBLISHING AG,Springer Nature (Unified)
EXPOSITIONES MATHEMATICAE,1,0,129,0.0,ELSEVIER GMBH,Elsevier (Unified)
CONSTRUCTION AND BUILDING MATERIALS,1,0,129,0.0,ELSEVIER SCI LTD,Elsevier (Unified)
SCIENCE AND MEDICINE IN FOOTBALL,1,0,129,0.0,TAYLOR & FRANCIS LTD,Taylor & Francis (Unified)
DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,1,0,129,0.0,DISCRETE MATHEMATICS THEORETICAL COMPUTER SCIENCE,
IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,1,0,129,0.0,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,IEEE (Unified)
JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY,1,0,129,0.0,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,
APPLIED THERMAL ENGINEERING,1,3,129,100.0,PERGAMON-ELSEVIER SCIENCE LTD,Elsevier (Unified)
INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,1,0,129,0.0,TAYLOR & FRANCIS INC,Taylor & Francis (Unified)
JOURNAL OF GENETIC PSYCHOLOGY,1,0,129,0.0,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",Taylor & Francis (Unified)
CHEMICAL AND BIOCHEMICAL ENGINEERING QUARTERLY,1,0,129,0.0,CROATIAN SOC CHEMICAL ENGINEERING TECHNOLOGY,
INNOVATIONS-TECHNOLOGY AND TECHNIQUES IN CARDIOTHORACIC AND VASCULAR SURGERY,1,0,129,0.0,SAGE PUBLICATIONS INC,Sage (Unified)
PRZEGLAD ELEKTROTECHNICZNY,1,0,129,0.0,WYDAWNICTWO SIGMA-NOT SP ZOO,
EKONOMSKI PREGLED,1,0,129,0.0,HRVATSKO DRUSTVO EKONOMISTA,
CELLS,1,0,129,0.0,MDPI,
CLINICAL AND EXPERIMENTAL OBSTETRICS & GYNECOLOGY,1,0,129,0.0,IMR PRESS,
AMERICAN JOURNAL OF THE MEDICAL SCIENCES,1,1,129,100.0,ELSEVIER SCIENCE INC,Elsevier (Unified)
MATERIALS TODAY BIO,1,0,129,0.0,ELSEVIER,Elsevier (Unified)
MEASURING BUSINESS EXCELLENCE,1,0,129,0.0,EMERALD GROUP PUBLISHING LTD,
BMC ZOOLOGY,1,0,129,0.0,BMC,Springer Nature (Unified)
JOURNAL OF MULTIDISCIPLINARY HEALTHCARE,1,2,129,100.0,DOVE MEDICAL PRESS LTD,
CHEMICAL ENGINEERING JOURNAL,1,0,129,0.0,ELSEVIER SCIENCE SA,Elsevier (Unified)
INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,1,0,129,0.0,SPRINGERNATURE,Springer Nature (Unified)
ADVANCED ENGINEERING MATERIALS,1,0,129,0.0,WILEY-V C H VERLAG GMBH,Wiley (Unified)
PHYSICAL REVIEW LETTERS,1,2,129,100.0,AMER PHYSICAL SOC,
DISCRETE OPTIMIZATION,1,0,129,0.0,ELSEVIER,Elsevier (Unified)
TECHNOLOGY AND HEALTH CARE,1,0,129,0.0,IOS PRESS,
JOURNAL OF NATURAL FIBERS,1,0,129,0.0,TAYLOR & FRANCIS INC,Taylor & Francis (Unified)
ENERGY,1,1,129,100.0,PERGAMON-ELSEVIER SCIENCE LTD,Elsevier (Unified)
JOURNAL OF CARDIOVASCULAR MEDICINE,1,0,129,0.0,LIPPINCOTT WILLIAMS & WILKINS,Lippincott Williams & Wilkins (Unified)
PALLIATIVE CARE & SOCIAL PRACTICE,1,0,129,0.0,SAGE PUBLICATIONS INC,Sage (Unified)
INFORMATION SCIENCES,1,0,129,0.0,ELSEVIER SCIENCE INC,Elsevier (Unified)
"2023 IEEE INTERNATIONAL CONFERENCE ON DECENTRALIZED APPLICATIONS AND INFRASTRUCTURES, DAPPS",1,0,129,0.0,IEEE COMPUTER SOC,IEEE (Unified)
BULLETIN OF MATHEMATICAL SCIENCES,1,1,129,100.0,WORLD SCIENTIFIC PUBL CO PTE LTD,World Scientific (Unified)
ENERGY SUSTAINABILITY AND SOCIETY,1,0,129,0.0,BMC,Springer Nature (Unified)
"PROCEEDINGS OF THE 18TH INTERNATIONAL JOINT CONFERENCE ON COMPUTER VISION, IMAGING AND COMPUTER GRAPHICS THEORY AND APPLICATIONS, VISIGRAPP 2023",1,0,129,0.0,SCITEPRESS,
DISCUSSIONES MATHEMATICAE GRAPH THEORY,1,0,129,0.0,UNIV ZIELONA GORA,
BIOINVASIONS RECORDS,1,0,129,0.0,REGIONAL EURO-ASIAN BIOLOGICAL INVASIONS CENTRE-REABIC,
CHILD AND ADOLESCENT PSYCHIATRY AND MENTAL HEALTH,1,0,129,0.0,BMC,Springer Nature (Unified)
HUMAN SYSTEMS MANAGEMENT,1,0,129,0.0,IOS PRESS,
KEMIJA U INDUSTRIJI-JOURNAL OF CHEMISTS AND CHEMICAL ENGINEERS,1,0,129,0.0,HRVATSKO DRUSTVO KEMJIJSKIH INZENJERA I TEHNOLOGA,
ENERGY REPORTS,1,0,129,0.0,ELSEVIER,Elsevier (Unified)
INTERNATIONAL JOURNAL OF FATIGUE,1,0,129,0.0,ELSEVIER SCI LTD,Elsevier (Unified)
LAND,1,0,129,0.0,MDPI,
ADVANCED MATERIALS TECHNOLOGIES,1,2,129,100.0,WILEY,Wiley (Unified)
HELIYON,1,0,129,0.0,CELL PRESS,Elsevier (Unified)
ANNALS OF HEMATOLOGY,1,0,129,0.0,SPRINGER,Springer Nature (Unified)
ATMOSPHERE,1,1,129,100.0,MDPI,
MACROMOLECULAR MATERIALS AND ENGINEERING,1,1,129,100.0,WILEY-V C H VERLAG GMBH,Wiley (Unified)
JOURNAL OF SPORT REHABILITATION,1,0,129,0.0,HUMAN KINETICS PUBL INC,
LIQUID CRYSTALS,1,3,129,100.0,TAYLOR & FRANCIS LTD,Taylor & Francis (Unified)
APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,1,3,129,100.0,SPRINGER,Springer Nature (Unified)
JOURNAL OF BUSINESS RESEARCH,1,3,129,100.0,ELSEVIER SCIENCE INC,Elsevier (Unified)
TOURISM,1,0,129,0.0,INST TOURISM,
PHYSICAL REVIEW X,1,4,129,100.0,AMER PHYSICAL SOC,
BABEL-REVUE INTERNATIONALE DE LA TRADUCTION-INTERNATIONAL JOURNAL OF TRANSLATION,1,0,129,0.0,JOHN BENJAMINS PUBLISHING CO,
IIC-INTERNATIONAL REVIEW OF INTELLECTUAL PROPERTY AND COMPETITION LAW,1,0,129,0.0,SPRINGER HEIDELBERG,Springer Nature (Unified)
FILOMAT,1,0,129,0.0,"UNIV NIS, FAC SCI MATH",
PHYSICAL REVIEW A,1,0,129,0.0,AMER PHYSICAL SOC,
JOURNAL OF INVESTIGATIVE DERMATOLOGY,1,0,129,0.0,ELSEVIER SCIENCE INC,Elsevier (Unified)
TEM JOURNAL-TECHNOLOGY EDUCATION MANAGEMENT INFORMATICS,1,0,129,0.0,UIKTEN - ASSOC INFORMATION COMMUNICATION TECHNOLOGY EDUCATION & SCIENCE,
AATCC JOURNAL OF RESEARCH,1,0,129,0.0,SAGE PUBLICATIONS INC,Sage (Unified)
JOURNAL OF FUNCTIONAL BIOMATERIALS,1,0,129,0.0,MDPI,
BIOMOLECULES AND BIOMEDICINE,1,0,129,0.0,ASSOC BASIC MEDICAL SCI FEDERATION BOSNIA & HERZEGOVINA SARAJEVO,
"2023 IEEE 47TH ANNUAL COMPUTERS, SOFTWARE, AND APPLICATIONS CONFERENCE, COMPSAC",1,0,129,0.0,IEEE COMPUTER SOC,IEEE (Unified)
ENGINEERING FAILURE ANALYSIS,1,0,129,0.0,PERGAMON-ELSEVIER SCIENCE LTD,Elsevier (Unified)
CURRENT ONCOLOGY,1,2,129,100.0,MDPI,
EUROPEAN JOURNAL OF MEDICAL RESEARCH,1,0,129,0.0,BMC,Springer Nature (Unified)
JOURNAL OF CLINICAL NURSING,1,0,129,0.0,WILEY,Wiley (Unified)
JOURNAL OF HEPATO-BILIARY-PANCREATIC SCIENCES,1,0,129,0.0,WILEY,Wiley (Unified)
INTERNATIONAL JOURNAL OF EMERGING MARKETS,1,0,129,0.0,EMERALD GROUP PUBLISHING LTD,
FOREST ECOSYSTEMS,1,0,129,0.0,KEAI PUBLISHING LTD,
TEACHING AND LEARNING IN MEDICINE,1,0,129,0.0,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",Taylor & Francis (Unified)
MANAGEMENT AND PRODUCTION ENGINEERING REVIEW,1,0,129,0.0,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES",Polska Akad Nauk (Unified)
CELLULAR AND MOLECULAR NEUROBIOLOGY,1,0,129,0.0,SPRINGER/PLENUM PUBLISHERS,Springer Nature (Unified)
PHYSICS OF FLUIDS,1,2,129,100.0,AIP Publishing,
JOURNAL OF MEDICAL SYSTEMS,1,0,129,0.0,SPRINGER,Springer Nature (Unified)
ACS APPLIED NANO MATERIALS,1,0,129,0.0,AMER CHEMICAL SOC,
JOURNAL OF POLICY AND PRACTICE IN INTELLECTUAL DISABILITIES,1,0,129,0.0,WILEY,Wiley (Unified)
EUROPEAN JOURNAL OF CRIME CRIMINAL LAW AND CRIMINAL JUSTICE,1,0,129,0.0,BRILL,
JOURNAL OF INTERNATIONAL MEDICAL RESEARCH,1,0,129,0.0,SAGE PUBLICATIONS LTD,Sage (Unified)
TEKSTILEC,1,1,129,100.0,UNIV LJUBLJANA,
CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,1,0,129,0.0,SPRINGER,Springer Nature (Unified)
BMC MEDICAL EDUCATION,1,0,129,0.0,BMC,Springer Nature (Unified)
LITERATUR UND KRITIK,1,0,129,0.0,OTTO MULLER VERLAG,
FRONTIERS IN PUBLIC HEALTH,1,2,129,100.0,FRONTIERS MEDIA SA,
MATERIALWISSENSCHAFT UND WERKSTOFFTECHNIK,1,0,129,0.0,WILEY-V C H VERLAG GMBH,Wiley (Unified)
KNOWLEDGE-BASED SYSTEMS,1,0,129,0.0,ELSEVIER,Elsevier (Unified)
OPEN MEDICINE,1,0,129,0.0,DE GRUYTER POLAND SP Z O O,Walter de Gruyter (Unified)
ARCHITECTURAL THEORY REVIEW,1,0,129,0.0,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",Taylor & Francis (Unified)
JOURNAL OF WATER PROCESS ENGINEERING,1,0,129,0.0,ELSEVIER,Elsevier (Unified)
JAMA NETWORK OPEN,1,1,129,100.0,AMER MEDICAL ASSOC,
JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY,1,0,129,0.0,LIPPINCOTT WILLIAMS & WILKINS,Lippincott Williams & Wilkins (Unified)
EAST ASIAN PRAGMATICS,1,0,129,0.0,EQUINOX PUBLISHING LTD,
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,1,1,129,100.0,ELSEVIER SCIENCE SA,Elsevier (Unified)
FRONTIERS IN COMPUTATIONAL NEUROSCIENCE,1,1,129,100.0,FRONTIERS MEDIA SA,
JOURNAL OF SEXUAL MEDICINE,1,0,129,0.0,OXFORD UNIV PRESS,Oxford University Press (Unified)
ANAEROBE,1,0,129,0.0,ELSEVIER SCI LTD,Elsevier (Unified)
JOURNAL OF SPORTS SCIENCE AND MEDICINE,1,0,129,0.0,JOURNAL SPORTS SCIENCE & MEDICINE,
BMC MUSCULOSKELETAL DISORDERS,1,0,129,0.0,BMC,Springer Nature (Unified)
JOURNAL OF ACADEMIC LIBRARIANSHIP,1,0,129,0.0,ELSEVIER SCIENCE INC,Elsevier (Unified)
CUREUS JOURNAL OF MEDICAL SCIENCE,1,0,129,0.0,SPRINGERNATURE,Springer Nature (Unified)
HEART SURGERY FORUM,1,0,129,0.0,"FORUM MULTIMEDIA PUBLISHING, LLC",
AMERICAN JOURNAL OF HEMATOLOGY,1,0,129,0.0,WILEY,Wiley (Unified)
JOURNAL OF NUCLEAR MEDICINE,1,3,129,100.0,SOC NUCLEAR MEDICINE INC,
PERSONALITY AND INDIVIDUAL DIFFERENCES,1,0,129,0.0,PERGAMON-ELSEVIER SCIENCE LTD,Elsevier (Unified)
JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,1,0,129,0.0,SPRINGER HEIDELBERG,Springer Nature (Unified)
SPORTS,1,0,129,0.0,MDPI,
FRONTIERS IN NUTRITION,1,0,129,0.0,FRONTIERS MEDIA SA,
ENVIRONMENTAL RESEARCH,1,0,129,0.0,ACADEMIC PRESS INC ELSEVIER SCIENCE,Elsevier (Unified)
JOURNAL OF BALKAN AND NEAR EASTERN STUDIES,1,0,129,0.0,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",Taylor & Francis (Unified)
JOURNAL OF MATHEMATICAL CHEMISTRY,1,0,129,0.0,SPRINGER,Springer Nature (Unified)
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,1,1,129,100.0,MEDICAL LIBRARY ASSOC,
ANAESTHESIA,1,0,129,0.0,WILEY,Wiley (Unified)
JOURNAL OF PEDIATRIC HEALTH CARE,1,0,129,0.0,ELSEVIER SCIENCE INC,Elsevier (Unified)
ACTA PHARMACEUTICA,1,0,129,0.0,SCIENDO,
FRONTIERS IN PHARMACOLOGY,1,2,129,100.0,FRONTIERS MEDIA SA,
AMFITEATRU ECONOMIC,1,0,129,0.0,EDITURA ASE,
HUMAN REPRODUCTION,1,0,129,0.0,OXFORD UNIV PRESS,Oxford University Press (Unified)
WEAR,1,1,129,100.0,ELSEVIER SCIENCE SA,Elsevier (Unified)
JOURNAL OF HAPPINESS STUDIES,1,0,129,0.0,SPRINGER,Springer Nature (Unified)
BIOSYSTEMS,1,0,129,0.0,ELSEVIER SCI LTD,Elsevier (Unified)
SUSTAINABLE DEVELOPMENT,1,0,129,0.0,WILEY,Wiley (Unified)
JOURNAL OF PERSONALIZED MEDICINE,1,1,129,100.0,MDPI,
NATURE REVIEWS CARDIOLOGY,1,10,129,100.0,NATURE PORTFOLIO,Springer Nature (Unified)
ETHOLOGY,1,0,129,0.0,WILEY,Wiley (Unified)
CROSS-CULTURAL RESEARCH,1,0,129,0.0,SAGE PUBLICATIONS INC,Sage (Unified)
"MACHINE LEARNING, OPTIMIZATION, AND DATA SCIENCE, LOD 2022, PT I",1,0,129,0.0,SPRINGER INTERNATIONAL PUBLISHING AG,Springer Nature (Unified)
JOURNAL OF HEPATOLOGY,1,0,129,0.0,ELSEVIER,Elsevier (Unified)
BMC SPORTS SCIENCE MEDICINE AND REHABILITATION,1,0,129,0.0,BMC,Springer Nature (Unified)
EUROPEAN JOURNAL OF NEUROSCIENCE,1,0,129,0.0,WILEY,Wiley (Unified)

Filter Summary:
Dataset: Web of Science 02022024:093309 + ESCI
Schema:  Web of Science
Domestic/International Collaboration:  All
"Time Period:  [2023, 2023]"
Include Early Access documents:  true
Funding Data Source:  All Sources

"Exported date  Feb 10, 2024. "
"InCites dataset updated  2024-01-25. Includes Web of Science content indexed through 2023-12-31. "

